Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,Domestic Auto Production,Employment Level,Unemployment Rate,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Industrial Production: Total Index,M1,M2,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States
2010-12-01,1186.5999755859375,1207.6099853515625,1186.5999755859375,1206.0699462890625,4548110000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.5099983215332,62.14999961853027,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,0.36363321099326684,39.51709168445705,-2.6856853475127025,0.0,0.0,0.0,36.95754345481838,0.6599998474121094,12571053.595930988,-1449151.1806994919,62.3700008392334,62.23999913533529,62.28499889373779,0.5291762488837805,62.41999816894532,36.50390169416746,0.5048224314789748,0.9673543510425732,0,62.18000030517578,62.47999954223633,61.81999969482422,62.41999816894531,15364700,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.81,4.46
2010-12-02,1206.81005859375,1221.8900146484375,1206.81005859375,1221.530029296875,4970800000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.5099983215332,62.57500076293945,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,0.3442604497586116,39.51709168445705,-2.6856853475127025,0.014358998703478676,0.002871799740695735,0.01148719896278294,36.95754345481838,0.656428473336356,13403796.187921382,-1449151.1806994919,62.3700008392334,62.583333333333336,62.58749961853027,0.3469684102805371,62.59999847412111,22.63595572436453,0.3400484434524068,0.9054193776508416,1,62.38999938964844,62.880001068115234,62.27000045776367,62.599998474121094,10160400,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.81,4.46
2010-12-03,1219.9300537109375,1225.5699462890625,1216.8199462890625,1224.7099609375,3735780000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.579999923706055,62.5,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,0.09259808700320758,39.51709168445705,-2.6856853475127025,0.02225463923169002,0.0067483676388945925,0.01550627159279543,36.95754345481838,0.6481122192071409,15600020.508694492,-1449151.1806994919,62.3700008392334,62.52000045776367,62.53000068664551,0.35562506659648385,62.560001373291044,23.23580182150156,0.348176388793881,0.9090603155936503,0,62.5099983215332,62.77000045776367,62.22999954223633,62.560001373291016,9882800,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.81,4.46
2010-12-06,1223.8699951171875,1225.800048828125,1220.6700439453125,1223.1199951171875,3527370000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.380001068115234,62.34000015258789,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,-0.3928610354223425,39.51709168445705,-2.6856853475127025,-0.0005309291486881307,0.005292508281378049,-0.00582343743006618,36.95754345481838,0.6275328185745995,6611020.508694492,-1449151.1806994919,62.3700008392334,62.29333368937174,62.27000045776367,0.292070964618925,62.20000076293947,18.701647415390063,0.28793609963954325,0.8807621118000298,0,62.310001373291016,62.47999954223633,62.20000076293945,62.20000076293945,8989000,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.81,4.46
2010-12-07,1227.25,1235.050048828125,1223.25,1223.75,6970630000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.255001068115234,62.4950008392334,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,-0.5102023339639236,39.51709168445705,-2.6856853475127025,-0.00960184224886973,0.0023136381753284937,-0.011915480424198224,36.95754345481838,0.6212805397855098,-584150.4000567049,-1449151.1806994919,62.3700008392334,62.43333435058594,62.40250110626221,0.2907174641972272,62.31000137329102,18.642797776564628,0.2866396571210976,0.8801203429620731,0,62.560001373291016,62.7400016784668,62.25,62.310001373291016,9528800,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.81,4.46
2010-12-08,1225.02001953125,1228.9300537109375,1219.5,1228.280029296875,4607590000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.380001068115234,62.35000038146973,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,0.5476153713408602,39.51709168445705,-2.6856853475127025,-0.0054312178141060485,0.0007646669774415854,-0.0061958847915476335,36.95754345481838,0.6069035000610147,3164370.0048442497,-1449151.1806994919,62.3700008392334,62.38333384195963,62.40000057220459,0.2551616306491415,62.450000762939446,16.28991986618693,0.2524018093854412,0.8626874711892669,1,62.220001220703125,62.560001373291016,62.13999938964844,62.45000076293945,7871900,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.81,4.46
2010-12-09,1230.1400146484375,1234.7099609375,1226.8499755859375,1233.0,4522510000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.255001068115234,62.35499954223633,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,-0.305784472594059,39.51709168445705,-2.6856853475127025,-0.033212802769497785,-0.006030826971946289,-0.027181975797551494,36.95754345481838,0.6499817560904176,-3157664.9592471267,-1449151.1806994919,62.3700008392334,62.256666819254555,62.20750045776367,0.26008920839017036,62.06000137329101,16.515225446342228,0.2571667609633258,0.8651690480589301,0,62.43000030517578,62.959999084472656,61.75,62.060001373291016,12965600,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.96,4.61
2010-12-10,1233.8499755859375,1240.4000244140625,1232.5799560546875,1240.4000244140625,4547310000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,61.98500061035156,62.010000228881836,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,-0.43749590220118817,39.51709168445705,-2.6856853475127025,-0.06656644201810735,-0.0181379499811785,-0.04842849203692885,36.95754345481838,0.6492690023943666,-6738066.941091643,-1449151.1806994919,62.3700008392334,61.97666676839193,61.96000003814697,0.22914092447535736,61.90999984741212,14.439725642987996,0.22714098654403025,0.8492372751202566,0,62.189998626708984,62.33000183105469,61.689998626708984,61.90999984741211,11457300,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.96,4.61
2010-12-13,1242.52001953125,1246.72998046875,1240.3399658203125,1240.4599609375,4361240000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,61.885000228881836,61.76500129699707,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,0.07316778161315288,39.51709168445705,-2.6856853475127025,-0.09592816185568864,-0.033695992356080534,-0.06223216949960811,36.95754345481838,0.6321783484670624,-402259.1581759099,-1449151.1806994919,62.3700008392334,61.7966677347819,61.812500953674316,0.22343420533248615,61.86000061035159,14.056333004542843,0.22157976184433728,0.8462102502800863,0,61.83000183105469,61.970001220703125,61.560001373291016,61.86000061035156,13672100,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.96,4.61
2010-12-14,1241.8399658203125,1246.5899658203125,1238.1700439453125,1241.5899658203125,4132350000,62.81920223384166,62.29300041198731,61.76679859013296,62.31400032043457,62.31500053405762,62.41499900817871,62.314000320434616,25.830425436973634,0.0356406187399827,57.14285714285714,71.42857142857143,14.285714285714292,0.7047640153895901,39.51709168445705,-2.6856853475127025,-0.04524657946359412,-0.03600610977758325,-0.009240469686010867,36.95754345481838,0.6641654676020882,8720405.673559487,-1449151.1806994919,62.3700008392334,62.53333282470703,62.59249973297119,0.1977791229925928,62.770000457763686,12.579041322748791,0.1964922353082425,0.8322629956772502,1,62.029998779296875,62.939998626708984,61.88999938964844,62.77000045776367,13491200,203.9,139301.0,9.3,219.179,93.5916,1836.7,8822.9,3.96,4.61
